"","Name","Team","Gm","season","Age","Salary","AAV","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"johnsch86-20122013","Chad.Johnson","PHX",4,"20122013",26,"0.600","0.600",95.37,96.36,26.31,246.3,100,100,84.85,5,103,108,0,56,0,19,5,28
"talboca87-20132014","Cam.Talbot","NYR",21,"20132014",26,"0.550","0.562",94.11,94.25,27.77,1210.1,97.81,93.96,86.86,33,527,560,6,268,9,140,18,119
"andercr81-20122013","Craig.Anderson","OTT",24,"20122013",31,"3.000","3.188",94.09,94.35,28.61,1419.9,98.8,94.19,84.88,40,637,677,4,329,10,162,26,146
"hammoan88-20142015","Andrew.Hammond","OTT",24,"20142015",26,"0.720","0.720",94.06,94.3,30.1,1409.2,97.62,92.86,88.57,42,665,707,8,328,14,182,20,155
"elliobr85-20112012","Brian.Elliott","STL",38,"20112012",26,"0.600","0.600",94.03,94.52,26.13,2232.2,97.67,94.16,88.06,58,914,972,10,420,16,258,32,236
"thomati74-20102011","Tim.Thomas","BOS",57,"20102011",36,"6.000","5.000",93.82,94.6,32.32,3361.9,98.29,95.2,86.01,112,1699,1811,13,748,25,496,74,455
"schneco86-20112012","Cory.Schneider","VAN",33,"20112012",25,"0.900","0.900",93.65,94.4,30.97,1831,97.42,92.52,89.77,60,885,945,10,378,19,235,31,272
"lehnero91-20122013","Robin.Lehner","OTT",12,"20122013",21,"0.900","0.870",93.63,94.04,34.64,734.5,96.76,92.91,89.29,27,397,424,6,179,9,118,12,100
"raantan89-20142015","Antti.Raanta","CHI",14,"20142015",25,"0.700","0.750",93.57,93.91,29.5,791.2,96.88,92.5,88.89,25,364,389,6,186,6,74,13,104
"darlisc88-20142015","Scott.Darling","CHI",14,"20142015",25,"0.570","0.570",93.56,94.36,30.24,831.3,97.19,96.36,86.26,27,392,419,5,173,4,106,18,113
"lehnero91-20112012","Robin.Lehner","OTT",5,"20112012",20,"0.900","0.870",93.51,94.65,30.88,299.2,100,97.3,80.43,10,144,154,0,71,1,36,9,37
"jonesma90-20132014","Martin.Jones","L.A",19,"20132014",23,"0.550","0.550",93.4,93.94,27.42,1094.2,95.5,95.76,88.75,33,467,500,10,212,5,113,18,142
"holtbbr89-20102011","Braden.Holtby","WSH",14,"20102011",20,"0.570","0.573",93.37,94.16,27.1,735,97.9,94.51,85.71,22,310,332,3,140,5,86,14,84
"priceca87-20142015","Carey.Price","MTL",66,"20142015",27,"6.750","6.500",93.34,93.8,29.47,3974.6,97.6,94.25,85.12,130,1822,1952,22,895,29,475,79,452
"hardijo84-20132014","Josh.Harding","MIN",29,"20132014",29,"2.100","1.900",93.33,93.42,24.84,1667,97.82,93.15,84.18,46,644,690,8,359,10,136,28,149
"thomati74-20082009","Tim.Thomas","BOS",53,"20082009",34,"1.100","1.100",93.27,93.95,31.24,3195.7,97.19,95.61,85.29,112,1552,1664,18,623,24,523,70,406
"staloal87-20132014","Alex.Stalock","S.J",24,"20132014",26,"0.625","0.625",93.17,93.38,27.43,1248.8,97.55,92.03,85.71,39,532,571,7,279,11,127,21,126
"bobrose88-20122013","Sergei.Bobrovsky","CBJ",38,"20122013",23,"0.900","0.900",93.17,93.52,29.33,2217.3,96.6,94.26,86.11,74,1010,1084,17,483,17,279,40,248
"pickaca92-20142015","Calvin.Pickard","COL",16,"20142015",22,"0.810","0.813",93.15,93.58,34.24,895.4,96.65,93.8,86.71,35,476,511,8,231,8,121,19,124
"peterju86-20112012","Justin.Peters","CAR",7,"20112012",25,"0.550","0.525",93.13,93.26,36.18,386.4,95.33,94.12,87.93,16,217,233,5,102,4,64,7,51
"raskxtu87-20092010","Tuukka.Rask","BOS",45,"20092010",22,"0.850","0.850",93.12,93.95,28.61,2560.8,97.43,95.71,84.66,84,1137,1221,13,493,15,335,56,309
"smithmi82-20112012","Mike.Smith","PHX",67,"20112012",29,"2.000","2.000",93.03,94.15,31.77,3901.4,98.54,93.83,84.98,144,1922,2066,13,875,32,487,99,560
"raskxtu87-20132014","Tuukka.Rask","BOS",58,"20132014",26,"6.000","7.000",92.99,93.23,29.09,3384.6,96.2,92.92,87.12,115,1526,1641,30,760,30,394,55,372
"lundqhe82-20112012","Henrik.Lundqvist","NYR",62,"20112012",29,"6.875","6.875",92.98,93.21,28.04,3751.6,96.62,93.2,85.87,123,1630,1753,29,830,30,411,64,389
"rinnepe82-20102011","Pekka.Rinne","NSH",64,"20102011",27,"2.800","3.400",92.97,93.57,30.19,3785.4,97.22,93.6,85.66,134,1771,1905,23,805,35,512,76,454
"hardijo84-20082009","Josh.Harding","MIN",19,"20082009",24,"0.750","0.725",92.94,92.97,31.3,868.4,97.25,93.18,83.5,32,421,453,6,212,9,123,17,86
"dubnyde86-20142015","Devan.Dubnyk","ARI/MIN",58,"20142015",28,"0.800","0.800",92.92,93.3,29.3,3327.9,97.55,92.43,84.98,115,1510,1625,19,757,32,391,64,362
"raskxtu87-20112012","Tuukka.Rask","BOS",23,"20112012",24,"1.500","1.250",92.91,93.72,28.92,1288.6,97.14,92.42,87.64,44,577,621,7,238,15,183,22,156
"millery80-20092010","Ryan.Miller","BUF",68,"20092010",29,"6.250","6.250",92.87,93.7,31.04,3983.4,96.85,94.11,86.49,147,1914,2061,27,830,33,527,87,557
"schneco86-20102011","Cory.Schneider","VAN",25,"20102011",24,"0.900","0.900",92.86,93.74,31.25,1370.8,96.14,93.93,88.38,51,663,714,10,249,13,201,28,213
"raskxtu87-20122013","Tuukka.Rask","BOS",36,"20122013",25,"3.500","3.500",92.86,93.82,27.97,2102.6,98.02,92.23,86.35,70,910,980,8,396,22,261,40,253
"quickjo86-20112012","Jonathan.Quick","L.A",68,"20112012",25,"1.800","1.800",92.82,93.18,27.37,4031.6,97.9,93.46,82.72,132,1707,1839,18,838,34,486,80,383
"luongro79-20102011","Roberto.Luongo","VAN",60,"20102011",31,"10.000","5.333",92.81,93.56,29.31,3588.2,97.29,93.5,85.57,126,1627,1753,20,719,33,475,73,433
"labarja80-20092010","Jason.Labarbera","PHX",17,"20092010",29,"1.000","1.000",92.81,93.15,29.72,926.7,96.33,97.48,81.97,33,426,459,8,210,3,116,22,100
"varlase88-20132014","Semyon.Varlamov","COL",63,"20132014",25,"3.000","2.833",92.75,93.67,33.21,3636.9,97.49,94.61,84.49,146,1867,2013,22,853,28,491,96,523
"masonst88-20142015","Steve.Mason","PHI",51,"20142015",26,"4.100","4.100",92.75,93.26,31,2884.3,97.5,93.84,83.54,108,1382,1490,18,702,22,335,68,345
"mrazepe92-20132014","Petr.Mrazek","DET",9,"20132014",21,"0.630","0.595",92.7,93.43,23.84,447.9,98.65,94.74,80.85,13,165,178,1,73,3,54,9,38
"schneco86-20122013","Cory.Schneider","VAN",30,"20122013",26,"3.500","4.000",92.69,93.61,28.92,1732.6,98.02,90.43,87.25,61,774,835,7,347,22,208,32,219
"priceca87-20132014","Carey.Price","MTL",59,"20132014",26,"5.750","6.500",92.67,93.04,31.69,3461,98.03,92.13,83.15,134,1694,1828,17,846,40,468,77,380
"emeryra82-20102011","Ray.Emery","ANA",10,"20102011",27,"0.500","0.500",92.65,93.25,31.01,526.3,96.58,92.31,87.01,20,252,272,4,113,6,72,10,67
"lundqhe82-20122013","Henrik.Lundqvist","NYR",43,"20122013",30,"6.875","6.875",92.61,92.89,27.75,2573.3,96.56,92.62,85.21,88,1102,1190,20,561,22,276,46,265
"crawfco84-20122013","Corey.Crawford","CHI",30,"20122013",27,"2.250","2.667",92.59,93.34,26.22,1759.8,97.38,94.09,83.86,57,712,769,9,334,12,191,36,187
"talboca87-20142015","Cam.Talbot","NYR",36,"20142015",27,"0.575","0.562",92.58,93.02,29.78,2091.6,96.42,93.42,85.27,77,961,1038,18,485,16,227,43,249
"khudoan86-20132014","Anton.Khudobin","CAR",36,"20132014",27,"0.800","0.800",92.57,93.22,30.99,2083.4,97.98,91.87,84.28,80,996,1076,10,484,23,260,47,252
"halakja85-20112012","Jaroslav.Halak","STL",46,"20112012",26,"3.500","3.750",92.57,93.18,26.49,2743.3,96.15,94.84,85.11,90,1121,1211,21,524,16,294,53,303
"vokouto76-20082009","Tomas.Vokoun","FLA",59,"20082009",32,"5.500","5.700",92.56,93.25,33.53,3321.7,97.49,93.32,84.03,138,1718,1856,21,815,33,461,84,442
