"","Team","Gm","season","GF","GA","G+/-","CF%","CP60","OFOn%","OSh%","OSv%","FO%","PDO","ZSO%","HSCF%","HSC+/-","HSCF","HSCA","HSCF60","HSCA60","HSCP60","SCF%","SC+/-","SCF","SCA","SCF60","SCA60","SCP60","CF%","C+/-","CF","CA","CF60","CA60","CP60","FF%","F+/-","FF60","FA60","FF","FA","FP60","MSF","MSA","BSF","BSA","SF%","S+/-","SF60","SA60","SF","SA","GF60","GA60","GF%","OSh%","OFenSh%","OSv%","OCOn%","OFOn%","FO%","FO_W","FO_L","ZSO","ZSN","ZSD","HIT","HIT-","PN","PN-","PenD","TOI"
"1","DET",81,"20082009",285,237,48,57.6,107.8,73.6,9.7,89.4,55,99.2,53.8,53.5,123,944,821,11.5,10,21.5,56.1,532,2464,1932,30,23.5,53.5,57.6,1342,5096,3754,62,45.7,107.8,56.8,950,48.4,36.8,3975,3025,85.2,1049,783,1121,729,56.6,684,35.6,27.3,2926,2242,3.5,2.9,54.6,9.7,7.2,89.4,57.4,73.6,55,2593,2121,1679,1592,1443,1457,1686,379,409,30,4927.7
"2","CHI",82,"20092010",262,203,59,56.3,105.9,74,9.4,90.1,52.4,99.5,55.5,54.9,165,924,759,11.1,9.1,20.1,54.9,415,2321,1906,27.8,22.8,50.6,56.3,1113,4979,3866,59.6,46.3,105.9,57.5,982,45.3,33.5,3781,2799,78.8,982,741,1198,1067,57.6,741,33.5,24.6,2799,2058,3.1,2.4,56.3,9.4,6.9,90.1,56.2,74,52.4,2340,2126,1629,1530,1307,1555,1901,357,391,34,5012.6
"3","L.A",82,"20132014",198,168,30,55.7,109.2,68.6,7.6,92.2,52.8,99.8,53.6,53,112,989,877,11.9,10.5,22.4,54.8,419,2385,1966,28.6,23.6,52.2,55.7,1035,5067,4032,60.8,48.4,109.2,54.9,678,45.4,37.2,3783,3105,82.6,1188,955,1284,927,54.7,445,31.1,25.8,2595,2150,2.4,2,54.1,7.6,5.2,92.2,51.2,68.6,52.8,2569,2301,1792,1528,1550,2609,2353,375,365,-10,5001.4
"4","PIT",82,"20112012",273,218,55,55.2,112.3,71.9,9.8,90.3,50.4,100.1,54.4,51.7,68,1041,973,12.5,11.7,24.2,55.6,544,2718,2174,32.6,26.1,58.8,55.2,977,5162,4185,62,50.3,112.3,55.3,747,46.4,37.5,3867,3120,83.9,1088,873,1295,1065,55.3,532,33.4,27,2779,2247,3.3,2.6,55.6,9.8,7.1,90.3,53.8,71.9,50.4,2500,2457,1747,1746,1464,2058,1959,372,393,21,4995.6
"5","S.J",82,"20132014",239,193,46,54.5,118,71.3,8.4,91.5,52.8,99.9,50.7,58.6,342,1167,825,13.9,9.9,23.8,58.1,762,2741,1979,32.8,23.6,56.4,54.5,887,5379,4492,64.3,53.7,118,55.5,793,47.8,38.3,3999,3206,86.1,1148,924,1380,1286,55.5,569,34.1,27.3,2851,2282,2.9,2.3,55.3,8.4,6,91.5,53,71.3,52.8,2747,2457,1773,1708,1723,1632,1960,291,363,72,5021.1
"6","S.J",82,"20082009",251,199,52,54.9,106.9,72.9,9.2,91.1,53.8,100.3,54.2,54.4,164,1017,853,12.2,10.2,22.4,56,508,2376,1868,28.5,22.4,50.9,54.9,880,4892,4012,58.7,48.1,106.9,55.1,687,44.8,36.5,3731,3044,81.3,1011,816,1161,968,55,492,32.6,26.7,2720,2228,3,2.4,55.8,9.2,6.7,91.1,55.6,72.9,53.8,2472,2124,1629,1592,1375,2042,1948,417,472,55,4999.9
"7","CHI",82,"20132014",261,212,49,54.9,107.1,74.7,9.6,90.5,52,100.1,55,54.4,156,964,808,11.6,9.7,21.2,54.8,412,2334,1922,28,23,51,54.9,870,4906,4036,58.8,48.4,107.1,54.7,625,43.6,36.1,3638,3013,79.7,921,784,1268,1023,54.9,488,32.6,26.7,2717,2229,3.1,2.5,55.2,9.6,7.2,90.5,55.4,74.7,52,2533,2340,1763,1665,1445,1375,2349,298,309,11,5007.4
"8","DET",81,"20092010",220,203,17,54.7,110,71.6,8.1,91.5,51.1,99.6,54.3,54.3,152,966,814,11.7,9.9,21.6,55,449,2451,2002,29.7,24.2,53.9,54.7,850,4966,4116,60.1,49.8,110,54.1,580,45.9,38.9,3791,3211,84.8,1077,825,1175,905,53.2,328,32.9,28.9,2714,2386,2.7,2.5,52,8.1,5.8,91.5,54.7,71.6,51.1,2316,2216,1669,1461,1402,1957,2097,324,362,38,4955.1
"9","S.J",82,"20102011",243,208,35,54.3,116.1,72.1,8.6,91.2,53.7,99.8,50.8,57.2,297,1178,881,14.1,10.6,24.7,55.7,536,2604,2068,31.3,24.8,56.1,54.3,830,5250,4420,63,53.1,116.1,54.5,648,47.1,39.4,3927,3279,86.5,1095,910,1323,1141,54.5,463,34,28.4,2832,2369,2.9,2.5,53.9,8.6,6.2,91.2,53.9,72.1,53.7,2582,2224,1656,1548,1602,1801,1976,361,374,13,4998.8
"10","CHI",82,"20142015",220,186,34,54.2,113.2,74.8,7.9,92.5,52,100.4,55.2,50.7,25,961,936,11.5,11.2,22.8,53.2,290,2397,2107,28.8,25.3,54.1,54.2,793,5109,4316,61.4,51.9,113.2,53.1,437,44.6,39.4,3713,3276,84,936,799,1396,1040,52.9,300,33.4,29.8,2777,2477,2.6,2.2,54.2,7.9,5.9,92.5,54.4,74.8,52,2553,2352,1861,1536,1508,1357,2317,266,318,52,4994.2
