"","Name","Team","Gm","Sv%","AdSv%","SA60","TOI","Sv%L","Sv%M","Sv%H","G","S","Sh","G.L","S.L","G.M","S.M","G.H","S.H"
"hammoan88","Andrew.Hammond","OTT",25,94.15,94.37,29.83,1444.2,97.67,92.96,88.64,42,676,718,8,335,14,185,20,156
"darlisc88","Scott.Darling","CHI",14,93.56,94.36,30.24,831.3,97.19,96.36,86.26,27,392,419,5,173,4,106,18,113
"pickaca92","Calvin.Pickard","COL",16,93.15,93.58,34.24,895.4,96.65,93.8,86.71,35,476,511,8,231,8,121,19,124
"talboca87","Cam.Talbot","NYR",57,93.12,93.44,29.04,3301.7,96.91,93.62,85.78,110,1488,1598,24,753,25,367,61,368
"raskxtu87","Tuukka.Rask","BOS",262,92.68,93.24,29.4,15048.5,96.95,93.7,84.78,540,6835,7375,99,3142,133,1978,308,1715
"schneco86","Cory.Schneider","VAN/N.J",212,92.54,93.43,29.11,11964.3,97.19,92.68,86.06,433,5371,5804,68,2351,118,1495,247,1525
"thomati74","Tim.Thomas","BOS/FLA/DAL",259,92.42,93.18,31.03,14898.9,97.45,93.6,83.54,584,7120,7704,84,3207,144,2106,356,1807
"grubaph91","Philipp.Grubauer","WSH",20,92.41,92.83,32.16,1031.6,97.27,92.86,83.22,42,511,553,7,249,11,143,24,119
"jonesma90","Martin.Jones","L.A",34,92.32,93,25.91,1869.1,95.98,93.49,86.07,62,745,807,14,334,14,201,34,210
"vokouto76","Tomas.Vokoun","FLA/WSH/PIT",247,92.25,92.99,32.54,13846.6,97.08,93.75,83.39,582,6927,7509,98,3260,124,1860,360,1807
"brodemi83","Mike.Brodeur","OTT",7,92.25,92.39,27.98,276.6,96.83,85.71,89.47,10,119,129,2,61,4,24,4,34
"lundqhe82","Henrik.Lundqvist","NYR",425,92.23,92.79,29.11,25070.4,96.71,93.06,84.06,945,11217,12162,184,5414,220,2949,541,2854
"holtbbr89","Braden.Holtby","WSH",178,92.06,92.42,30.75,10080.4,96.34,91.88,84.47,410,4756,5166,89,2346,113,1279,208,1131
"weekeke75","Kevin.Weekes","N.J",16,91.98,92.44,30.14,794.4,95.05,94.17,85.09,32,367,399,9,173,6,97,17,97
"mrazepe92","Petr.Mrazek","DET",40,91.97,92.41,27.79,2150.5,97.34,91.92,82.26,80,916,996,12,439,24,273,44,204
"yorkxal89","Allen.York","CBJ",11,91.96,91.46,28.64,416.9,95.73,97.5,76.19,16,183,199,5,112,1,39,10,32
"svedbni89","Niklas.Svedberg","BOS",19,91.96,93.16,28.73,960.7,97.27,93.89,83.56,37,423,460,5,178,8,123,24,122
"desjace85","Cedrick.Desjardins","T.B",6,91.95,93.4,29.94,298.6,98.21,91.3,85.11,12,137,149,1,55,4,42,7,40
"luongro79","Roberto.Luongo","VAN/FLA",373,91.93,92.64,29.39,21728.3,96.98,93.2,82.72,859,9785,10644,142,4558,201,2757,516,2470
"priceca87","Carey.Price","MTL",394,91.92,92.62,30.02,23214.6,97.42,92.43,82.42,938,10678,11616,136,5145,236,2880,566,2653
"rinnepe82","Pekka.Rinne","NSH",378,91.9,92.44,29.08,21845.9,97.42,92.45,81.65,858,9729,10587,126,4763,219,2683,513,2283
"hardijo84","Josh.Harding","MIN",112,91.87,92.28,29.52,5872.9,96.71,92.66,82.32,235,2654,2889,45,1323,56,707,134,624
"khudoan86","Anton.Khudobin","MIN/BOS/CAR",91,91.86,92.72,29.51,5122.3,97.88,92.41,81.87,205,2314,2519,24,1106,51,621,130,587
"gibsojo93","John.Gibson","ANA",26,91.85,92.17,30.03,1520.3,98.4,90.16,80.73,62,699,761,6,370,19,174,37,155
"millery80","Ryan.Miller","BUF/STL/VAN",398,91.83,92.7,30.99,23120.3,96.66,92.54,84.29,976,10964,11940,169,4887,248,3077,559,3000
"bishobe86","Ben.Bishop","STL/OTT/T.B",170,91.83,92.6,29.06,9504.7,96.98,92.39,83.33,376,4227,4603,61,1959,97,1178,218,1090
"bobrose88","Sergei.Bobrovsky","PHI/CBJ",229,91.82,92.4,30.79,13011.3,96.58,92.02,83.75,546,6131,6677,103,2911,147,1694,296,1526
"vasilan94","Andrei.Vasilevskiy","T.B",16,91.81,92.52,28.86,862.8,94.94,89.55,90.24,34,381,415,8,150,14,120,12,111
"varlase88","Semyon.Varlamov","WSH/COL",267,91.8,92.67,31.11,15451.9,96.65,93.38,83.38,657,7354,8011,116,3349,142,2003,399,2002
"andercr81","Craig.Anderson","FLA/COL/OTT",328,91.77,92.4,32.56,18729.8,97.26,92.93,81.37,837,9328,10165,129,4576,189,2485,519,2267
"anderfr89","Frederik.Andersen","ANA",82,91.75,92.41,28.49,4673,96.88,93.52,81.64,183,2036,2219,32,995,37,534,114,507
"halakja85","Jaroslav.Halak","MTL/STL/WSH/NYI",309,91.73,92.58,28.63,17890.2,96.51,92.53,84.14,706,7830,8536,128,3537,173,2144,405,2149
"bernijo88","Jonathan.Bernier","L.A/TOR",171,91.73,92.45,31.39,9475.6,96.78,92.6,82.93,410,4547,4957,70,2107,103,1289,237,1151
"staloal87","Alex.Stalock","S.J",49,91.71,92.54,26.91,2555.4,97.88,91.75,81.79,95,1051,1146,11,508,25,278,59,265
"crawfco84","Corey.Crawford","CHI",261,91.66,92.41,28.03,15090.9,96.81,92.22,83.11,588,6462,7050,102,3093,141,1671,345,1698
"lackxed88","Eddie.Lack","VAN",82,91.65,92.51,29.12,4640.7,97.07,93.11,82.06,188,2064,2252,29,961,42,568,117,535
"hutchmi90","Michael.Hutchinson","WPG",41,91.62,92.28,27.78,2319.8,96.93,91.64,82.89,90,984,1074,15,474,24,263,51,247
"niemian83","Antti.Niemi","CHI/S.J",338,91.58,92.17,28.46,19689.2,96.73,91.91,82.57,786,8552,9338,142,4198,197,2237,447,2117
"howarji84","Jimmy.Howard","DET",329,91.58,92.33,28.68,19114.3,96.85,92.24,82.65,769,8368,9137,129,3960,191,2269,449,2139
"hillejo82","Jonas.Hiller","ANA/CGY",354,91.58,92.44,29.95,19942.6,96.56,91.98,84.01,838,9116,9954,151,4244,203,2329,484,2543
"quickjo86","Jonathan.Quick","L.A",402,91.57,92.23,26.89,23524.5,96.84,92.02,82.47,889,9654,10543,150,4595,232,2674,507,2385
"kinkake89","Keith.Kinkaid","N.J",20,91.49,91.72,30.47,949.1,95.2,90.44,85.47,41,441,482,11,218,13,123,17,100
"wardxca84","Cam.Ward","CAR",353,91.45,92.28,30.69,20348.9,96.87,92.66,81.97,890,9520,10410,143,4427,210,2651,537,2442
"greisth86","Thomas.Greiss","S.J/PHX/PIT",85,91.45,91.98,28.72,4545.8,95.61,91.06,85.07,186,1990,2176,43,937,53,540,90,513
"fleurma84","Marc-Andre.Fleury","PIT",421,91.42,92.46,28.52,24380.2,97.38,92.32,81.96,994,10595,11589,131,4863,242,2911,621,2821
"lehnero91","Robin.Lehner","OTT",86,91.41,91.88,33.55,4786.4,96.08,91.82,82.87,230,2446,2676,49,1200,58,651,123,595
"lehtoka83","Kari.Lehtonen","ATL/DAL",352,91.4,92.33,30.75,20375.7,96.8,92.47,82.54,898,9545,10443,141,4259,226,2775,531,2511
"johnsch86","Chad.Johnson","NYR/PHX/BOS/NYI",56,91.38,92.56,28.01,3106.5,97.32,92.48,82.35,125,1325,1450,16,580,31,381,78,364
"dubnyde86","Devan.Dubnyk","EDM/NSH/ARI/MIN",231,91.38,92.28,31.19,13012.4,96.47,91.98,83.52,583,6182,6765,102,2784,150,1720,331,1678
"zatkoje87","Jeff.Zatkoff","PIT",21,91.32,92.02,29.76,1207.6,97.79,89.41,82.17,52,547,599,6,266,18,152,28,129
"smithmi82","Mike.Smith","T.B/PHX/ARI",330,91.3,92.28,31.19,18955.9,96.8,91.82,82.97,857,8996,9853,136,4118,215,2412,506,2466
"reimeja88","James.Reimer","TOR",175,91.27,92.07,33.32,9361,96.64,91.17,83.09,454,4745,5199,77,2217,125,1290,252,1238
