Team,Season,Date,Vs,Score,Goalie,Opp. Goalie,M/L,O/U,FIELD,Opponent,Game Result,OT game?,Pts Scr,Pts Alw,Pts Alw,M/L,DOG/FAV,Scr Margin,P/L Cover,O/U Result,O/U Line,O/U Line,O/U Odds
New Jersey,2011-2012,2012-06-11,@ Los Angeles,L 1-6,Martin Brodeur,Jonathan Quick,L 153,O 5 219,ROAD,Los Angeles,L,FALSE,1,6,6,153,DOG,-5,No Cover,O,5 219,5,219
New Jersey,2011-2012,2012-06-09,Los Angeles,W 2-1,Martin Brodeur,Jonathan Quick,W -103,U 5 -209,HOME,Los Angeles,W,FALSE,2,1,1,-103,FAV,1,No Cover,U,5 -209,5,-209
New Jersey,2011-2012,2012-06-06,@ Los Angeles,W 3-1,Martin Brodeur,Jonathan Quick,W 165,U 5 -193,ROAD,Los Angeles,W,FALSE,3,1,1,165,DOG,2,+1.5 Cover,U,5 -193,5,-193
New Jersey,2011-2012,2012-06-04,@ Los Angeles,L 0-4,Martin Brodeur,Jonathan Quick,L 136,U 5 -195,ROAD,Los Angeles,L,FALSE,0,4,4,136,DOG,-4,No Cover,U,5 -195,5,-195
New Jersey,2011-2012,2012-06-02,Los Angeles,L 1-2 (OT),Martin Brodeur,Jonathan Quick,L -115,U 5 -199,HOME,Los Angeles,L,TRUE,1,2 (OT),2,-115,FAV,-1,No Cover,U,5 -199,5,-199
New Jersey,2011-2012,2012-05-30,Los Angeles,L 1-2 (OT),Martin Brodeur,Jonathan Quick,L -101,U 5 -172,HOME,Los Angeles,L,TRUE,1,2 (OT),2,-101,FAV,-1,No Cover,U,5 -172,5,-172
New Jersey,2011-2012,2012-05-25,NY Rangers,W 3-2 (OT),Martin Brodeur,Henrik Lundqvist,W -108,P 5,HOME,NY Rangers,W,TRUE,3,2 (OT),2,-108,FAV,1,No Cover,P,5,5,
New Jersey,2011-2012,2012-05-23,@ NY Rangers,W 5-3,Martin Brodeur,Henrik Lundqvist,W 122,O 5 180,ROAD,NY Rangers,W,FALSE,5,3,3,122,DOG,2,+1.5 Cover,O,5 180,5,180
New Jersey,2011-2012,2012-05-21,NY Rangers,W 4-1,Martin Brodeur,Henrik Lundqvist,W -121,P 5,HOME,NY Rangers,W,FALSE,4,1,1,-121,FAV,3,-1.5 Cover,P,5,5,
New Jersey,2011-2012,2012-05-19,NY Rangers,L 0-3,Martin Brodeur,Henrik Lundqvist,L -106,U 5 -180,HOME,NY Rangers,L,FALSE,0,3,3,-106,FAV,-3,No Cover,U,5 -180,5,-180
