Name,pos,team,season,faceoff GAR,drawn GAR,taken GAR,shotrate for GAR,shotrate against GAR,shooter GAR,goalie GAR,total GAR
Tim Thomas,G,BOS,20082009,0,0,0,0,0,0,48.38,48.38
Tim Thomas,G,BOS,20102011,0,0,0,0,0,0,45.29,45.29
Alex Ovechkin,LR,WSH,20072008,-0.01,2.84,3.47,19.91,-0.25,17.04,0,43
Miikka Kiprusoff,G,CGY,20052006,0,0,0,0,0,0,41.85,41.85
Roberto Luongo,G,VAN,20062007,0,0,0,0,0,0,41.12,41.12
Mike Smith,G,PHX,20112012,0,0,0,0,0,0,40.23,40.23
Joe Pavelski,RC,S.J,20132014,2.23,0.09,1.4,17.87,3.49,14.41,0,39.49
Semyon Varlamov,G,COL,20132014,0,0,0,0,0,0,38.85,38.85
Sidney Crosby,C,PIT,20092010,2.41,-0.03,0.17,16.44,2.1,16.95,0,38.04
Pavel Datsyuk,CL,DET,20072008,1.24,2.01,4.63,20.34,6.96,2.22,0,37.4
Tomas Vokoun,G,NSH,20052006,0,0,0,0,0,0,37.23,37.23
Ryan Miller,G,BUF,20092010,0,0,0,0,0,0,37.01,37.01
Martin Brodeur,G,N.J,20062007,0,0,0,0,0,0,36.98,36.98
Carey Price,G,MTL,20142015,0,0,0,0,0,0,36.51,36.51
Joe Thornton,C,S.J,20072008,1.76,1.23,2.99,19.21,5.68,5.55,0,36.42
Alex Ovechkin,LR,WSH,20092010,0.02,0.19,0.86,19.27,3.79,11.48,0,35.61
Henrik Zetterberg,CL,DET,20072008,1.96,1.3,3.08,18.3,3.63,7.32,0,35.59
Henrik Lundqvist,G,NYR,20052006,0,0,0,0,0,0,35.28,35.28
Roberto Luongo,G,FLA,20052006,0,0,0,0,0,0,34.25,34.25
Jarome Iginla,R,CGY,20072008,0.83,1.29,2.76,16.48,1.85,10.23,0,33.44
Cristobal Huet,G,MTL,20052006,0,0,0,0,0,0,33.29,33.29
Jonathan Cheechoo,R,S.J,20052006,-0.05,0,3.99,16.33,2.07,10.89,0,33.23
Dominik Hasek,G,OTT,20052006,0,0,0,0,0,0,33.15,33.15
Alex Ovechkin,LR,WSH,20052006,-0.06,0,4.95,12.24,8.93,6.97,0,33.03
Manny Fernandez,G,MIN,20052006,0,0,0,0,0,0,32.2,32.2
Evgeni Malkin,CR,PIT,20072008,-0.8,4.18,0.56,16.94,1.97,9.26,0,32.11
Pavel Datsyuk,CL,DET,20092010,1.47,0.74,3.6,11.39,8.02,6.87,0,32.09
Pavel Datsyuk,CL,DET,20052006,2.07,0,5.39,13.26,0.88,10.33,0,31.93
Joe Pavelski,RC,S.J,20142015,1.27,0.02,2.92,17.52,3.37,6.13,0,31.23
Henrik Lundqvist,G,NYR,20062007,0,0,0,0,0,0,30.93,30.93
Tim Thomas,G,BOS,20072008,0,0,0,0,0,0,30.53,30.53
Pekka Rinne,G,NSH,20102011,0,0,0,0,0,0,30.41,30.41
Ray Emery,G,OTT,20062007,0,0,0,0,0,0,30.39,30.39
Anze Kopitar,C,L.A,20132014,2.96,-0.79,2.09,15.06,4.74,6.15,0,30.21
Cory Schneider,G,N.J,20142015,0,0,0,0,0,0,29.93,29.93
Jaromir Jagr,R,NYR,20052006,-0.01,0,3.67,11.03,2.67,12.45,0,29.81
Pavel Datsyuk,CL,DET,20062007,1.4,0,5.72,12.75,4.67,5.25,0,29.79
Joe Thornton,C,BOS/S.J,20052006,2.9,0,6.55,18.33,-3.73,5.69,0,29.74
Kari Lehtonen,G,ATL,20062007,0,0,0,0,0,0,29.69,29.69
Andy McDonald,LC,ANA,20052006,2.71,0,4.68,9.67,2.47,10.07,0,29.6
Tyler Seguin,CR,DAL,20132014,0.01,0.2,3.05,16.34,1.65,8.33,0,29.58
Steven Stamkos,CR,T.B,20112012,0.11,2.43,-0.03,8.58,-1.33,19.56,0,29.32
Derek Roy,C,BUF,20072008,1.01,3.04,1.85,14.26,1.29,6.93,0,28.38
Evgeni Malkin,CR,PIT,20112012,0.55,3.88,-0.89,16.79,-1.34,9.37,0,28.36
Cory Schneider,G,VAN,20112012,0,0,0,0,0,0,28.16,28.16
Brad Boyes,R,STL,20072008,0.14,-1.51,3.61,5.93,0.55,19.39,0,28.11
Nicklas Backstrom,C,WSH,20092010,0.5,-2.31,2.13,14.37,3.72,9.65,0,28.06
Chris Mason,G,NSH,20062007,0,0,0,0,0,0,27.78,27.78
Daniel Alfredsson,R,OTT,20052006,-0.09,0,4.84,9.8,2.09,11.07,0,27.71
Ryan Kesler,C,VAN,20102011,3.65,1.69,0.88,13.17,0.26,7.93,0,27.58
Teemu Selanne,R,ANA,20062007,0.95,0,1.37,11.24,0.57,13.29,0,27.42
Brian Gionta,R,N.J,20052006,-0.02,0,5.07,10,1.87,10.41,0,27.33
Ben Bishop,G,T.B,20132014,0,0,0,0,0,0,27.3,27.3
Alexander Semin,R,WSH,20092010,0,1.49,-0.75,15.12,-2.14,13.56,0,27.28
Sidney Crosby,C,PIT,20132014,2.89,0.76,0.52,15.91,2.45,4.74,0,27.27
Scott Niedermayer,D,ANA,20052006,0,0,2.82,17.23,5.85,1.23,0,27.13
Patrick Marleau,LR,S.J,20092010,0.97,-2.32,3.69,14.43,-2.37,12.69,0,27.09
Daniel Sedin,L,VAN,20102011,-0.04,-1.64,2.35,14.29,1.57,10.45,0,26.98
Anze Kopitar,C,L.A,20092010,0.55,-2.77,4.3,13.26,2.12,9.49,0,26.95
Simon Gagne,RL,PHI,20052006,0,0,5.06,11.06,4.28,6.36,0,26.76
Patrick Marleau,LR,S.J,20052006,1.03,0,6.94,16.49,0.41,1.86,0,26.73
Rick Dipietro,G,NYI,20062007,0,0,0,0,0,0,26.67,26.67
Manny Legace,G,DET,20052006,0,0,0,0,0,0,26.65,26.65
Pavel Datsyuk,CL,DET,20082009,1.85,-0.47,2.69,14.35,1.97,6.21,0,26.6
