Name,pos,team,faceoff WAR,drawn WAR,taken WAR,shotrate for WAR,shotrate against WAR,shooter WAR,goalie WAR,total WAR
Pavel Datsyuk,CL,DET,2.53,0.4,5.29,17.6,7.41,8.47,0,41.69
Joe Thornton,C,BOS/S.J,2.97,-0.1,3.85,24.79,3.67,2.95,0,38.14
Alex Ovechkin,LR,WSH,-0.01,1.67,2.9,19.9,-0.73,14.23,0,37.95
Sidney Crosby,C,PIT,2.27,1.66,1.31,22,-2.44,7.53,0,32.33
Joe Pavelski,RC,S.J,1.86,0.05,2.98,18.05,3.6,2.62,0,29.16
Henrik Lundqvist,G,NYR,0,0,0,0,0,0,29.11,29.11
Anze Kopitar,C,L.A,1.68,-0.66,4.9,14.09,2.95,5.99,0,28.95
Patrick Marleau,LR,S.J,1.33,-2.51,5.52,18.96,-0.08,3.87,0,27.09
Roberto Luongo,G,FLA/VAN,0,0,0,0,0,0,26.84,26.84
Jonathan Toews,C,CHI,3.3,0.57,1.83,11.34,3.73,5.65,0,26.41
Ryan Getzlaf,C,ANA,0.84,-1.55,0.71,15.86,2.8,7.14,0,25.81
Daniel Sedin,L,VAN,-0.02,-1.09,3.15,17.56,3.98,1.42,0,25
Henrik Zetterberg,CL,DET,1.61,-0.11,3.47,17.64,2.01,0.01,0,24.61
Chris Kunitz,L,ANA/ATL/PIT,0.02,-0.9,0.66,15.2,4.12,5.29,0,24.39
Dan Boyle,D,T.B/S.J/NYR,0,0.19,2.53,16.07,5.7,-0.54,0,23.95
Tomas Vokoun,G,NSH/FLA/WSH/PIT,0,0,0,0,0,0,23.72,23.72
Evgeni Malkin,CR,PIT,-0.2,3.46,-1.02,18.54,-1.22,4.07,0,23.64
Martin St. Louis,C,T.B/NYR,-0.05,-0.36,6.71,13.66,-1.44,5.03,0,23.55
Tim Thomas,G,BOS/FLA/DAL,0,0,0,0,0,0,23.45,23.45
Henrik Sedin,C,VAN,1.6,-1.12,1.9,17.59,1.34,1.85,0,23.15
