"","teamname","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","season","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team"
"13","L.A",2569,2301,368,362,2609,2353,5065,4031,3781,3104,2593,2149,198,167,1792,1528,1550,5104.25833333333,"20132014",55.68,59.54,47.38,1034,54.92,44.45,36.49,677,54.68,30.48,25.26,444,54.25,2.33,1.96,31,53.62,99.86,52.75,7.64,5.24,92.23,1188,955,1284,927
"24","S.J",2747,2457,279,353,1632,1960,5378,4491,3998,3205,2850,2281,239,192,1773,1708,1723,5139,"20132014",54.49,62.79,52.43,887,55.5,46.68,37.42,793,55.54,33.27,26.63,569,55.45,2.79,2.24,47,50.72,99.97,52.79,8.39,5.98,91.58,1148,924,1380,1286
"7","CHI",2533,2340,284,298,1375,2349,4904,4029,3636,3006,2716,2225,260,211,1763,1665,1445,5094.9,"20132014",54.9,57.75,47.45,875,54.74,42.82,35.4,630,54.97,31.98,26.2,491,55.2,3.06,2.48,49,54.96,100.09,51.98,9.57,7.15,90.52,920,781,1268,1023
"2","BOS",2577,2418,335,306,2008,2057,4837,4276,3599,3225,2612,2383,257,170,1761,1616,1618,5036.45833333333,"20132014",53.08,57.62,50.94,561,52.74,42.88,38.42,374,52.29,31.12,28.39,229,60.19,3.06,2.03,87,52.12,102.71,51.59,9.84,7.14,92.87,987,842,1238,1051
"19","NYR",2397,2512,319,353,1905,1847,4971,4426,3709,3307,2716,2407,213,185,1751,1562,1596,5009.825,"20132014",52.9,59.54,53.01,545,52.86,44.42,39.61,402,53.02,32.53,28.83,309,53.52,2.55,2.22,28,52.32,100.16,48.83,7.84,5.74,92.31,993,900,1262,1119
"25","STL",2536,2354,401,386,1839,1780,4618,4154,3426,3033,2400,2162,237,188,1707,1592,1591,5088.71666666667,"20132014",52.64,54.45,48.98,464,53.04,40.4,35.76,393,52.61,28.3,25.49,238,55.76,2.79,2.22,49,51.76,101.18,51.86,9.88,6.92,91.3,1026,871,1192,1121
"16","N.J",2174,2450,294,272,1568,1899,4044,3646,3031,2797,2199,2086,197,194,1549,1627,1448,5103.39166666667,"20132014",52.59,47.54,42.87,398,52.01,35.64,32.88,234,51.32,25.85,24.52,113,50.38,2.32,2.28,3,51.69,99.66,47.02,8.96,6.5,90.7,832,711,1013,849
"28","VAN",2534,2399,379,348,1710,1925,4805,4485,3556,3268,2525,2324,191,216,1645,1567,1721,5088.79166666667,"20132014",51.72,56.65,52.88,320,52.11,41.93,38.53,288,52.07,29.77,27.4,201,46.93,2.25,2.55,-25,48.87,98.27,51.37,7.56,5.37,90.71,1031,944,1249,1217
"20","OTT",2659,2530,416,371,2351,2056,5030,4786,3782,3831,2690,2849,229,258,1734,1718,1737,5111.38333333333,"20132014",51.24,59.04,56.18,244,49.68,44.4,44.97,-49,48.56,31.58,33.44,-159,47.02,2.69,3.03,-29,49.96,99.46,51.24,8.51,6.05,90.94,1092,982,1248,955
"4","CAR",2652,2390,287,327,1807,1965,4927,4691,3617,3595,2559,2535,204,225,1820,1601,1621,5022.14166666667,"20132014",51.23,58.86,56.04,236,50.15,43.21,42.95,22,50.24,30.57,30.29,24,47.55,2.44,2.69,-21,52.89,99.1,52.6,7.97,5.64,91.12,1058,1060,1310,1096
"9","DAL",2544,2538,345,363,1629,1968,4877,4711,3651,3512,2565,2474,226,221,1767,1663,1652,4994.41666666667,"20132014",50.87,58.59,56.6,166,50.97,43.86,42.19,139,50.9,30.81,29.72,91,50.56,2.72,2.65,5,51.68,99.88,50.06,8.81,6.19,91.07,1086,1038,1226,1199
"21","PHI",2504,2507,403,387,2174,2092,4773,4621,3492,3421,2487,2507,233,227,1704,1658,1649,5071.99166666667,"20132014",50.81,56.46,54.66,152,50.51,41.31,40.47,71,49.8,29.42,29.66,-20,50.65,2.76,2.69,6,50.82,100.31,49.97,9.37,6.67,90.95,1005,914,1281,1200
"10","DET",2487,2413,328,313,1621,1905,4358,4209,3376,3195,2454,2398,217,220,1731,1581,1588,5128.4,"20132014",50.87,50.99,49.24,149,51.38,39.5,37.38,181,50.58,28.71,28.06,56,49.66,2.54,2.57,-3,52.15,99.67,50.76,8.84,6.43,90.83,922,797,982,1014
"22","PHX",2563,2369,334,343,2173,1966,4705,4634,3497,3504,2499,2539,210,224,1687,1636,1609,5111.84166666667,"20132014",50.38,55.22,54.39,71,49.95,41.05,41.13,-7,49.6,29.33,29.8,-40,48.39,2.46,2.63,-14,51.18,99.58,51.97,8.4,6.01,91.18,998,965,1208,1130
"12","FLA",2380,2551,320,334,1860,2067,4465,4401,3402,3419,2449,2550,188,261,1640,1615,1676,5091.71666666667,"20132014",50.36,52.61,51.86,64,49.88,40.09,40.29,-17,48.99,28.86,30.05,-101,41.87,2.22,3.08,-73,49.46,97.44,48.27,7.68,5.53,89.76,953,869,1063,982
"5","CBJ",2466,2313,349,347,2595,1929,4411,4352,3313,3293,2414,2492,223,213,1571,1540,1668,4973.8,"20132014",50.34,53.21,52.5,59,50.15,39.97,39.72,20,49.21,29.12,30.06,-78,51.15,2.69,2.57,10,48.5,100.69,51.6,9.24,6.73,91.45,899,801,1098,1059
"29","WPG",2289,2593,365,340,2313,1880,4760,4711,3541,3455,2515,2471,219,230,1632,1659,1591,5107.85,"20132014",50.26,55.91,55.34,49,50.61,41.59,40.58,86,50.44,29.54,29.03,44,48.78,2.57,2.7,-11,50.64,99.4,46.89,8.71,6.18,90.69,1026,984,1219,1256
"36","CBJ",59,59,7,12,44,44,126,83,91,67,64,48,8,3,47,36,35,119.633333333333,"20142015",60.29,63.19,41.63,43,57.59,45.64,33.6,24,57.14,32.1,24.07,16,72.73,4.01,1.5,5,57.32,106.25,50,12.5,8.79,93.75,27,19,35,16
"45","MIN",62,56,12,12,27,51,135,93,112,66,81,46,7,0,43,39,36,119.9,"20142015",59.21,67.56,46.54,42,62.92,56.05,33.03,46,63.78,40.53,23.02,35,100,3.5,0,7,54.43,108.64,52.54,8.64,6.25,100,31,20,23,27
"38","CHI",58,56,11,10,33,57,144,103,101,82,73,57,8,4,34,46,34,132.466666666667,"20142015",58.3,65.22,46.65,41,55.19,45.75,37.14,19,56.15,33.06,25.82,16,66.67,3.62,1.81,4,50,103.94,50.88,10.96,7.92,92.98,28,25,43,21
